,COMPILED BY @PATRICKJFL,,,,,,,,,,,,,,,,,,,
31,Crispin Blunt,,Conservative,Reigate,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Hunt,Johnson,1997,No,Leave,Yes,Lib Left,,,34%,48%,Remain,
225,Anthony Mangnall,,Conservative,Totnes,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Hunt,-,2019,No,?,,Lib Left,,Yes,24%,54%,Soft Leave,
92,Steve Double,,Conservative,St Austell and Newquay,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Javid,Harper,2015,Yes,Leave,,Auth Right,,,30%,64%,Heavy Leave,
2,Bim Afolami,,Conservative,Hitchin and Harpenden,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Hancock,2017,No,Remain,Yes,Lib Right,,Yes,12%,40%,Remain,
34,Andrew Bowie,,Conservative,West Aberdeenshire and Kincardine,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Hancock,2017,No,Remain,,Lib Right,,,2%,39%,Remain,
53,James Cartlidge,,Conservative,South Suffolk,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Hunt,2015,No,Remain,,Auth Right,,,43%,54%,Soft Leave,
57,Alex Chalk,,Conservative,Cheltenham,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Hancock,2015,Yes,Remain,,Lib Right,,Yes,2%,43%,Remain,
131,Nick Gibb,,Conservative,Bognor Regis and Littlehampton,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Gove,1997,Yes,Remain,,Lib Right,,,44%,65%,Heavy Leave,
134,John Glen,,Conservative,Salisbury,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Javid,2010,No,Remain,,Auth Left,,Yes,37%,50%,Remain,
156,Simon Hart,,Conservative,Carmarthen West and South Pembrokeshire,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Johnson,2010,Yes,Remain,,Lib Right,,,18%,55%,Soft Leave,
165,Simon Hoare,,Conservative,North Dorset,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Javid,2015,No,Remain,,Lib Left,,Yes,43%,57%,Mid Leave,
166,Richard Holden,,Conservative,North West Durham,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,-,2019,No,Leave,,Auth Right,Yes,,2%,55%,Soft Leave,
167,Kevin Hollinrake,,Conservative,Thirsk and Malton,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Gove,2015,No,Remain,,Lib Left,,,44%,56%,Mid Leave,
192,Fay Jones,,Conservative,Brecon and Radnorshire,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,-,2019,No,?,,Lib Right,,Yes,17%,52%,Soft Leave,
194,Simon Jupp,,Conservative,East Devon,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,-,2019,No,Remain,,Lib Right,,,10%,50%,Soft Leave,
227,Julie Marson,,Conservative,Hertford and Stortford,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,-,2019,No,?,,Lib Right,,,33%,49%,Remain,
230,Paul Maynard,,Conservative,Blackpool North and Cleveleys,Sunak,https://conservativehome.com/2022/10/20/next-tory-leader-which-mp-is-backing-whom-sunak-in-front-johnson-a-close-second-with-mordaunt-a-distant-third/,Sunak,Sunak,Johnson,2010,Yes,Leave,,Auth Right,,,22%,67%,Heavy Leave,
